Topic,Level,Description,Module
Dynamic pricing,Cluster,"Every individual item can have different sessions in which pricing can be different from each other, So a outlet can have same item on multiple prices on the basis of sessions, i.e : breakfast, lunch and dinner",Admin
Deployment Level,Settings,"Update All Deployment/ Outlet Details:
Name, Mobile Number, Address, GST/ VAT no, Company Name, Franchise, Preferred Language, Daily Emailer (scheduler setting for Enterprise ID only)
",Admin
Menu Management Settings,Items,"Here, user can active and deactivate items on outlet/deployment level",Admin
Menu Management Settings,Charges,"Every deployment can have their own charges like packaging charges, service charges. Also, the taxes on brand level can also cascade the charges - All of this can be done on deployment level",Admin
Menu Management Settings,Sessions,"Day Sessions - Day sessions are being made to bifurcate the day timings into breakfast, lunch and dinner - All the sales then can be divided into sessions for the day ",Admin
Menu Management Settings,Complimentary head,"When user use complimentary offer, so they have to define that this complimentary item is going to this complimentary head - basically a name",Admin
Menu Management Settings,BTC,"Bills to comapny can be define on outlet too, herer we can define the company name, employee names, their id number, address lines and  mobile and email facility so that a bill can directly assign to a specific employee of specific company",Admin
Menu Management Settings,Locations,"An outlet can have locations to run on, beyond these location it wouldn't work",Admin
Menu Management Settings,Predefined Comments,"We have a option of predefine comments, for example:- Void, Discount, Complementary, Re Print, Kot, Cash Variance, Bill, Kitchen Message, Online/Advance Order Rejection, ExpressOffer(Billwise), Kot-Reprint, Reason (Manual EDC), Remove Charges",Admin
Menu Management Settings,Disabled Tabs,"Locations can be added for Area Wise Delivery purposes.
Each Outlet has it's locations assigned. Beyond that location, other outlets can take over.
Used for integration with One Click (Third party company in Dubai)",Admin
Menu Management Settings,Dynamic Pricing,"The same as setting Dynamic Pricings at Cluster Level.
Every individual item can have different sessions in which pricing can be different from each other, So a outlet can have same item on multiple prices on the basis of sessions, i.e : breakfast, lunch and dinner",Admin
Menu Management Settings,Default Offer,"Offers created and Brand & Deployment Level can be selected as an Default/ Automatically Applied offer.

This will take effect for every bill punched into the system, 
(manually can be deleted from ""Offers"" button on front end POS)

Permissions can be enabled for specific users only.",Admin
Billing Settings,General,- Scan Barcode To Print Bill - can be utilized for bakery type items where scanning action of a barcode punches to print the bill,Admin
Billing Settings,General,"- Allow accept without printing KOT - for online orders, can skip KOT printing and accept the bill",Admin
Billing Settings,General,- Seperate Button To Mark Food Ready - Keep an MFR button ready to split the food ready from Dispatch(For online orders),Admin
Billing Settings,General,"- Show Veg / Non-Veg Flag - marks veg items as green, non-veg items as red on main billing punching screen",Admin
Billing Settings,General,- Cancel Item after Print Bill - allows void post printing a bill,Admin
Billing Settings,General,- Enable Sweet Shop - enables sweet shot functionality - 100 gms/250gms/ 1kg - gram qty can be added to change price for sale portion wise,Admin
Billing Settings,General,- Deployment Alias -  enables to mark a pseudo name for an alias to avoid confusion,Admin
Billing Settings,General,- Enable Comment to Void Bill - Voiding a bill will require a comment,Admin
Billing Settings,General,- Enable Comment to Edit Bill - editing a bill will require a comment,Admin
Billing Settings,General,- Manager Permission On: Bill TransferKot Transfer Item TransferVoid KotVoid/Change Item Qty - set permissions for the choice of activity,Admin
Billing Settings,General,- Auto Start New Bill - auto starts a new bill after one is closed,Admin
Billing Settings,General,"- Reset SerialNumber Daily - bill series number starts from 1, at new day open",Admin
Billing Settings,General,- Enable Advance Booking - activates advance booking feature for the outlet,Admin
Billing Settings,General,- Send email of bill - email is sent to the clients email information if collected in CRM,Admin
Billing Settings,General,- Send SMS of bill - sms is sent to the clients mobile number information if collected in CRM (transactional module required,Admin
Billing Settings,General,- Disable Bill RoundOff - does not auto round off the bill,Admin
Billing Settings,General,- No punch Of Item/Discount after Print: Item/ Discount - disables the ability to punch more items/ discount after printing a bill,Admin
Billing Settings,General,- Comment on re-print Bill - requirement for comment on re-printing a bill,Admin
Billing Settings,General,- Disable Transfer of: Bill/Kot/Item - blocks transfer of specific bill/ Kot/ item,Admin
Billing Settings,General,- Hide Discount Amount Field - hide discount amount field for billing,Admin
Billing Settings,General,- Max no of addons - set a max addon's in total which can be punched onto a bill,Admin
Billing Settings,General,- Max quantity of each addons - set max qty of each addon which can be punched onto a bill,Admin
Billing Settings,General,- AddOn Compulsory - select between addons being compulsory/ optional for all addon mapped items,Admin
Billing Settings,General,-Stop Modify Bill Before CutOff Time (In Hrs.) - can set a cut off time to prevent any modification of bills,Admin
Billing Settings,General,- Max addOn from each category - set max addon which can be selected from each category,Admin
Billing Settings,General,- Hide Category In Billing - hides the category filter bar from billing pos,Admin
Billing Settings,General,- Disable BackDate Expense - prevents any backdated expenses from being logged onto expense module,Admin
Billing Settings,General,"- Manual Qty Entry Sweet Shop - with sweet shop functionality, has access to manually enter numbers rather than selecting",Admin
Billing Settings,General,- Set Current User as Waiter - defaults the current user to the waiter for reporting purposes,Admin
Billing Settings,General,- Enable Made/Unmade Option - gives option to mark made(ready) for delivery/takeaway,Admin
Billing Settings,General,- Show Serial Number On TakeOut/Delivery Bill - provides the serial number of the bill on takeout/delivery bills,Admin
Billing Settings,General,- Tabwise Bill Series (For Cloud Kitchen) - separate bill series as per different brands(Cloud kitchen tabs),Admin
Billing Settings,General,- Tabwise Bill Series (For IOT) - separate the bill series as per different format tabs(IOT),Admin
Billing Settings,General,- Specific Tabwise Bill Series (For IOT) - CHECK,Admin
Billing Settings,General,- Enable Comment on Split Bill - require to enter in a comment when splitting a bill,Admin
Billing Settings,General,- Change Status After Split Bill - CHECK,Admin
Billing Settings,General,- Hide Item Search - hides the item search and item punch from the top right section of Billing POS,Admin
Billing Settings,General,- Decimal Places - enables decimal places within billing,Admin
Billing Settings,General,- Disable Void Bills - prevents voiding bills from billing operations,Admin
Billing Settings,General,"- Round Off Near 5 - rounds of prices ranging from 1 - 4 to Rs 5, or Rs 10 respectively, maintaining """"no change"""" aspect",Admin
Billing Settings,General,- Enable Transfer Across TabTypes: Takeout/ Delivery  - grants access to transferring tables or orders across tab; takeaway/delivert to dine in,Admin
Billing Settings,General,- Enable Split Before Print KOT - enables user to split a table order before punching the KOT (Button shows up below the Print KOT Option),Admin
Billing Settings,General,- Disable Void KOT after Print Bill - blocks voiding a KOT after print is completed,Admin
Billing Settings,General,"- Enable Multi Split - gives access to Multi Split a bill(split a bill into multiple parts - not just 2); however once split, cannot be split again",Admin
Billing Settings,General,"- Enable Customer Display - for use in KDS, to allow clients to see the orders punched",Admin
Billing Settings,General,"- Set Passcode User as Waiter - opening a table with passcode, associates that user as the waiter of the table(for reporting)",Admin
Billing Settings,General,- Disable KDS Update message - skips KDS Updates message prompt,Admin
Billing Settings,General,- Enable Banquet Split - access to splitting banquet reservations payments,Admin
Billing Settings,General,- Disable Bill Editing and Voiding After Cutoff Time - Blocks find bill feature of editing and voiding after the day cut off time,Admin
Billing Settings,General,- Add Manual Weight - similar to sweet shop usage - selecting an item gives prompt box to enter qty of the item and weightage to calculate the pricing,Admin
Billing Settings,General,- Show Bill Number on Table - displays Bill number on billing table view screen,Admin
Billing Settings,General,- Enable Transfer from Table to : Takeout/Delivery - access to transferring bills from table to takeout/delivery,Admin
Billing Settings,General,"- Consecutive Bill Series (For IOT) - bill series allocate in a consecutive manner across the different terminals, with IOT (Default off, is separate series per terminal)""",Admin
Billing Settings,Cut Off Time,"- Some restaurants run and are active till early morning 2 or 3 AM.
The cut off time, by default is 5AM, any bills punched before this time reflect for the previous days reports


Outlet Cut off time can be amended, but changes take effect from the 1st of the next month.
(The reason for this is to ensure the monthly reporting cycle doesn't get affected)",Admin
Billing Settings,Settlement,Settle Bill on Print: joins Settle and Bill print option into one action,Admin
Billing Settings,Settlement,"Other Settings are available for Settle by user, and to ENABLE/DISABLE relevant Payment Modes",Admin
Billing Settings,Settlement,Includes PAYMENT GATEWAYS MODES / BANK MODES / WALLETS / ONLINE PAYMENT MODES,Admin
Billing Settings,Settlement,TIPS can be enabled through this menu Settings (only available for card payment modes),Admin
Billing Settings,Menu Settings,- Sort by Item Number - format of sorting,Admin
Billing Settings,Menu Settings,- Sort by Alphabetic - format of sorting,Admin
Billing Settings,Menu Settings,- Bar Exchange IP (not in use anymore),Admin
Billing Settings,Menu Settings,- Enable Item Image - POS/ Online Order - shows images uploaded at the brand level on the chosen platform,Admin
Billing Settings,Menu Settings,- Menu Item Alphanumeric - format of sorting,Admin
Billing Settings,Menu Settings,- Sort Addon by Item Number - format of sorting for addons,Admin
Billing Settings,Menu Settings,"- Combined Menu for UrbanPiper - enable to utilize 1 Tab for online aggregators through UrbanPiper""",Admin
Billing Settings,Tax Settings,- Activate inclusive Tax - tax gets included in the pricing (Gulf regions),Admin
Billing Settings,Tax Settings,"- Bill wise offer taxation fix - enabling(default) this setting, applies tax according to the offer of discount (100 - 90 post discount, tax calculated on 90, instead of 100)",Admin
Billing Settings,Tax Settings,- Remove Taxes Manually - can be used to remove Service Tax on bills,Admin
Billing Settings,Tax Settings,- HSN/SAC Number - can be assigned if a generic number needs to be added,Admin
Billing Settings,Tax Settings,- Enable Tax on Addon - addon prices get taxed,Admin
Billing Settings,Tax Settings,- Enable Tax Before Discount - (not in use),Admin
Billing Settings,Tax Settings,- UTGST applied - can be enabled for Union Territories (Statewise),Admin
Billing Settings,Offer Settings,- Apply Automatic Discounts,Admin
Billing Settings,Offer Settings,- Discount on Addons,Admin
Billing Settings,Offer Settings,- Enable Bill Express Offer - hide the express offer option,Admin
Billing Settings,Offer Settings,- Comment on Offers - makes comments mandatory on offers,Admin
Billing Settings,Offer Settings,- Allow Offer to Waiter - allow permissions for waiters to apply offers,Admin
Billing Settings,Offer Settings,- Disable Discount on AddOn on Bill Wise Offers - removes AddOns from the discount criteria,Admin
Billing Settings,Offer Settings,- Comment on Item Wise Offers - makes comments mandatory for Item Wise Offers,Admin
Billing Settings,Offer Settings,- Disable Item Wise Express Offer - hide the express offer from item modifier section(3 dots button),Admin
Billing Settings,Offer Settings,"- Redeem Loyalty Points as discount - used with integration with Capillary""",Admin
Billing Settings,Offer Settings,- Show Offers Applied on Bill -  offers get included in the clients bill,Admin
Billing Settings,Table Management,"- Delivery Boy Selection Required - makes mandatory for either """"Take out/Delivery"""" type formats",Admin
Billing Settings,Table Management,- Waiter Selection required - makes mandatory,Admin
Billing Settings,Table Management,- Restaurant Capacity - can be used to define max numerical capacity for the restaurant,Admin
Billing Settings,Table Management,- Enable Covers - turn on the option to enter and track covers for the required format,Admin
Billing Settings,Table Management,- No. of Tables - can be used to define and showcase number of tables at the front end POS,Admin
Billing Settings,Table Management,"- Cover Mandatory - make the tracking of covers mandatory for the required format.""",Admin
Billing Settings,Passcode Settings,"- Multiple options accessible to enable or disable passcode requirement for activities such as:
Discount
Void Bill
Re-Print Bill / Re-Print KOT
Table Access
Express Offer
Split Bill
Stock In/ Stock Out
Table transfer
Sweet Shop
Bypass Passcode for Item Comment
Table (Non-IOT)
Advance Bill Accept/Reject
Use Waiter Passcode for Delivery/Takeaway

Maintaining separate User Passcodes, can help TRACK which user is performing which function within the billing operations.",Admin
Billing Settings,CRM Settings,- Enable CRM Alert on Bill - alert to collect client info for selected tab,Admin
Billing Settings,CRM Settings,- Enable CRM Mandatory on Bill - mandatory requirement to collect client info for selected tab to print a bill*,Admin
Billing Settings,CRM Settings,- Skip CRM By Manager Passcode - manager passcode can skip mandatory CRM requirement,Admin
Billing Settings,CRM Settings,- Add Customer Information Without Bill,Admin
Billing Settings,CRM Settings,- Disable Customer Info on Printed Bill - hides CRM data on the bill,Admin
Billing Settings,CRM Settings,- Max/ Min Number of Digit in mobile (CRM) - limits entry of data into the CRM (10 digits - India),Admin
Billing Settings,CRM Settings,"- Optional Customer Name - can make customer name as Optional - mandatory only number, sorted by numbers",Admin
Billing Settings,CRM Settings,- Enable CRM Compulsory on Bill - mandatory requirement to collect client info for selected tab to punch an order*,Admin
Billing Settings,CRM Settings,- Allow Zero in Mobile number - 0 as first digit,Admin
Billing Settings,CRM Settings,"- Enable Country Code in CRM - can add country code at the start of the mobile number""",Admin
Billing Settings,Instance -> Settlement Mode,"- Settlement Modes can be customized as per the Instance/Terminal Needs.
Example:
T1 - can be set for Cash and Card Only.
T2 - can be set for Online, Others, Btc",Admin
Billing Settings,Shift And Petty Cash,- Enable Petty Cash - activates Petty cash for that Outlet,Admin
Billing Settings,Shift And Petty Cash,- Enter Cash on Opening Shift - Opening and Closing the day asks for cash balance available,Admin
Billing Settings,Shift And Petty Cash,- Denomination mandatory in Petty Cash,Admin
Billing Settings,Shift And Petty Cash,- Validate Shift Opening and Closing Amount - validates and checks for variance with the opening and closing amount available in the system and what's entered,Admin
Billing Settings,Shift And Petty Cash,"- Validate Day Closing Amount - post the previous step, also validates day closing amount",Admin
Billing Settings,Shift And Petty Cash,- Blind Closing - system won't notify of variance(hides from cashier) - but reports showcase the variance - for short/extra cash,Admin
Billing Settings,Shift And Petty Cash,- Max Shift Closing Attempts - can be set,Admin
Billing Settings,Shift And Petty Cash,- Enable Shift Transfer can be set for use - transfer balance of cash to other user,Admin
Billing Settings,Shift And Petty Cash,- Disable Shift management,Admin
Billing Settings,Shift And Petty Cash,Print receipt for shift - can be enabled to get a hard copy of shift amt,Admin
Billing Settings,Shift And Petty Cash,- Enable Shift Verification - cashier has to verify with manager - manager re-closes cashiers shift post verification.,Admin
Billing Settings,Shift And Petty Cash,- Use permission for Cash Drawer - only selected users can be given access to Cash Drawer(this is besides bill settling) - bill settle auto opens for all,Admin
Billing Settings,Shift And Petty Cash,- Enable Open Cash Drawer in Petty Cash - Main Cash Drawer Setting - to open the Cash Drawer for set billing operations,Admin
Billing Settings,Shift And Petty Cash,"- Match Logged in user with Shift User - only User that is logged into the system can login to shift""",Admin
Billing Settings,Shift And Petty Cash,- Max Cash in Till - can set a max amount - where the software will prompt to cash out from till to office,Admin
Billing Settings,Other Settings,"Available Options:
- Instance Server - used to enter the IP address port number (http://192.168.190.9000) of the IOT box (IOT setups only)
- Show Food Cost as Ideal Cost
- Activate Virtual Keyboard - can be used to set up keyboard pop ups for touch screen pos
- Enable Notifications - FOR ANTI THEFT MODULE; managers can receive anti theft notifications(void/discounts applied done by which user) - needs to be activated from the backend
- Enable Insights - FOR COCKPIT APPLICATION - showcases additional insights
- Independent Instance - Enabled to PAUSE IOT setup, and use only the terminals independently (bill series will be separate)
- Render Super Category in Double Row - activates 2 rows instead of default 1 row
- Royalty_Percentage - currently not in use
- Punch Same Combo Together - if 2 or more combos are punched constituents will show clubbed together, instead of separately.
- Enable Other Option in Complimentary Head - Complimentary head gives other option for settlement
- Enable Change in Item Rate - Access given to the Front POS user to manually edit the rate of any item (not recommended - disabled by default)
- Separate Dispatch Button (Delivery) - Under Delivery, ""Show Orders"", gives Dispatch Time button as an additional step. If disabled, print bill time will be considered dispatch time.
- Use Predefined Comment as Item Comment - enables dropdown to use Predefined Comments for item comment
- Enable New Split Methods - creates option for blank and equal split
- Enable Manual Order ID - right clicking on a table/delivery table gives option to manually enter Order ID's
- Check for Daily Physical Entry in Kitchen - mandatory requirement to perform physical entry in kitchen, otherwise closing day won't be possible.
- Enable Out of Stock - Sheet provision to enter opening stock of all items at the start of the day, so it auto marks out of stock, once complete.
- Only Use Item Search (Server App) - for server app - punching orders, only searching option is available, not through category wise.
- Use Confirmation for Print Bill(Server App) - confirmation setting to avoid double clicking on server app.
- Keyboard Size (1-5) - for virtual keyboard.
- Disable Barcode Search - can assign barcodes to items, this search feature can be disabled.
- Enable Item Search Topbar - gives search bar to filter out items directly on front POS
- Enable Non Residential Cover Flag - for Hotelogix (Property Management Software)
- Disable Void Item after Settlement - prevents Voiding any item post settlements
- Enable Printing Day End slip - gives access to end Day Print Slip (top right corner dropdown option)
- Auto Lock If Idle(In Minutes) - set time for automatic lock of user screen, user password required to unlock
- Use Predefined Discount For Item Express Discount - replaces express discounts with only the ability to use predefined discounts.
- Realtime KDS - punching an item pushes it directly to KDS, no requirement to print KOT first
- Enable Assorted Items - allows multiple items to be bundled into a package - example Hamper
- Enable Reorder - activate option to reorder KOT or individual items
- Enable Split by Amount - Split option gets activated under splitting a bill (customizable amount)
- Enable Split after split with items(For IOT only) - allows a bill to be re-split as per requirements; merging not an option
- Enable Qty via Button - clicking in between + and - of quantity gives the option to manually enter in the quantity",Admin
Print KDS,Item > Stations,- Used to assign INDIVIDUAL items from categories which to printers to bypass the Category mapping.,Admin
Print KDS,Instance Print,"- Used in outlets with IOT setups - or multiple instances. (especially where location of the printers are separated by different floors)
(POSist Print Utility has to be running to read printers installed under the control panel)

- Top Section - is used for Assigning Terminal Activity to the BILLS Printer.


- Lower Section - is used for Assigning Terminal Activity to the KOT Printer",Admin
Print KDS,Print Settings,"Available Options:
- Printer Server - all printers should be installed on a main server(PC) - the IP address of the system is recorded here as the Main Print Server example 192.168.1.178 (Utility should only be installed on the main server)
(using ""localhost"" - the print commands go to the same respective system *UTILITY to be installed on all systems)
- Station Wise Print - needs to be enabled for station wise printer to be active, else all print commands go to the default control panel printer
- Enable e-POS Epson TM-i Print - can use 1 cloud printer - this enables the cloud printer / IP for which needs to be assigned under the setting ""EPSON Printer IP""(2nd last option of the same section)
- Print Bill By Cashier Only - for specific tabs can restrict Bill printing to the Cashier Users only.
- Enable Bluetooth Printer - enables bluetooth printing (can be used for only single bluetooth printer / tablet to BT printer) 
Caution with BT printer - wait for 2 - 3 seconds post KOT print to print the Bill (to avoid missing the 2nd print)
Also, in BT Printers, merging KOT - Bill Print / KOT - Bill Print - Settlement WON't Work (BT printer can only receive 1 command at a time)
DO NOT USE the Setting ""Enable Bluetooth Printer"" if using BT print Utility on the tablet
- Print Delivery Message - enables the option to print delivery message with KOT's
- Bill Print Optional - prompt is enabled on whether a bill print is required - OK/ Cancel
- Activate New Print Utility - (Default activated)
- Print DMP Activate For - used for Dot matrix printer - enable if this type of printing is used for KOT/ Bill
- Print Default Size - default size is 10 , can be lowered or increased: 8 - 13
- Print Default Bold - default enabled - highlights the printing to be more clearer
- Use EPSON SDK - IPADS have access to enabling the IP address of the respective printer (this setting activates the IPAD operating system for this print forwarding)
Note: 1 IPAD can be linked to 1 printer, not more than 1. However multiple IPADS can be set on 1 printer, or separate printers this way
- Use Item wise Stations - enabled to activate Item Wise Station Printing (otherwise default is category station wise printing)",Admin
Print KDS,Kot Settings,"Available Options:
- Category-Wise Print Kot - separates each category on the KOT, ex - shakes, juices, mocKTails will show up in separate sections.
- Enable Comment on KOT Print - gives a KOT Comment Button(above total amount & taxes) while punching in a KOT
- Disable KOT - skip KOT and proceed directly to Bill
- Print KOT with bill - KOT and bill print merges into 1 action
- KOT Print Copies - can increase number of copies more than default 1
- Master KOT Enable For Food/ Liquor - Master KOT printer will default print 
- Enable Separate Punch Item in KOT - punching a similar item will show as separate counts instead of clubbed together
- KOT Print Template Number - with the field blank, a default template is used, but if a specific template number is used, a different format can be tested **Refer KOT Print Template Document - websitedheko.com/OPS**
- Disable Print KOT number on bill - hides KOT number from the bill
- Hold and Fire Bill - Option to punch a full KOT, but keep the items on hold, sending 1 item at a time, for example Starters > Main Course> Desserts (Show H/F Items Button on KOT Punching screen)
- KOT Print Option - prompt is enabled on whether a KOT print is required - OK/ Cancel

- Print Item Size in KOT / Print Bill No Size(KOT) / Print Steward Size(KOT) / Print Table No Size(KOT)  - control individual font sizes, default is 10
- Master KOT Instance Wise - The Master Station Category Printer, if print is enabled from T1/T2/ other terminals; these can be separated to other printers.
- Hide on Printed KOT - option to hide: Table Number/ Tab Name/ Bill Number/ Order Number/ Waiter Name/ KOT Number/ Covers/ Customer Into
- Print Item Wise KOT - separates each item on the KOT, This Prints Item Wise KOT + Consolidated KOT.
- Disable Consolidated KOT for Item Wise - blocks Consolidated KOT from the above setting for relevant Format
- Print Running Order Tag on KOT - if punching a new KOT for an existing table; PRINTS a ""Running Order Tag"" on it - so that the chef is made aware and can prioritize kitchen preparations
- Disable Zomato/Swiggy Order Print - zomato orders automatically print a bill - this option disables the print (no longer in use)
- Hide Total Qty Field in KOT - hides total qty field from being showcased on KOT
- Mark Separate Items in KOT - enables a ""mark Checkbox"" when punching KOT - checking the box, puts a section separation post that item.
- Print Offer in KOT - showcases offers applied on KOT
- Disable Logo on KOT - hides logo on KOT
- Table Transfer Print on KOT Printer - transferring a table, causes a new hard copy KOT receipt to showcase this billing operation
- Combo Constituent Item Station Print - This needs to be enabled for Station wise printing; IF a combo constituents a meal + beverage, which is to go to separate KOT printers; Meal > 1st Printer; Beverage > 2nd printer
- Enable Short Name on Print KOT - allows shortnames for KOT's; this is assigned to items at the Brand level ""Item Shortname Tab""
- Online Order Info on KOT - Online Orders aggregator info can be displayed on the KOT.
- Enable KOT Item Wrapping - wraps the text to the next line (Clearler Font formatting); as only 10 characters can be displayed via the thermal Printer
- Enable Room No. Print - Hotelogix room number gets printed on the bill
- Enable Button to send KOT on Bill Printer - optional button to send KOT print through the Bill printer instead
- Enable Void KOT Print on Bill Printer after Settlement - any voidation post settlement of a bill, gets a Void KOT print through the bill printer, if enabled",Admin
